sample3;;sample4;
Wavelength (nm);%R;Wavelength (nm);Abs
231;1.060.552.502;231;0.9788608551
230;1.068.951.225;230;0.9712802172
229;1.071.700.573;229;0.9682750702
228;1.077.151.775;228;0.9656888843
227;1.085.284.138;227;0.9606316686
226;1.088.858.414;226;0.9627867341
225;1.093.019.009;225;0.9594888091
224;1.096.951.866;224;0.9592294693
223;1.106.172.276;223;0.9572845697
222;1.107.297.421;222;0.9521912336
221;1.109.665.394;221;0.9556467533
220;1.109.952.736;220;0.9473628402
219;1.127.574.158;219;0.9506177902
218;1.128.618.717;218;0.9462172389
217;1.132.791.424;217;0.9421567917
216;1.147.699.833;216;0.9458403587
215;11.600.914;215;0.939160943
214;1.169.377.232;214;0.9330078363
213;1.177.137.756;213;0.9241043329
212;1.181.846.333;212;0.92236799
211;1.213.757.801;211;0.9172527194
210;1.218.689.728;210;0.9170076251
209;1.219.494.438;209;0.9126303792
208;1.269.958.878;208;0.8985598683
207;1.276.838.493;207;0.8934432268
206;1.287.757.874;206;0.8872098327
205;1.336.384.296;205;0.8792350292
204;1.359.061.718;204;0.8701249957
203;1.388.818.455;203;0.8621596098
202;1.414.328.671;202;0.8512994051
201;1.446.183.205;201;0.8327772021
200;1.507.779.026;200;0.823767662
;;;
sample3;;;
sample3;;;
Collection Time: 19/07/2025 12:54:50;;;
Operator Name  :;;;
Scan Software Version: 4.20(470);;;
Parameter List :;;;
Instrument                        Cary 100;;;
Instrument Version                12.00;;;
Start (nm)                        800.00;;;
Stop (nm)                         200.00;;;
X Mode                            Nanometers;;;
Y Mode                            %R;;;
UV-Vis Scan Rate (nm/min)         600.000;;;
UV-Vis Data Interval (nm)         1.000;;;
UV-Vis Ave. Time (sec)            0.100;;;
UV-Vis SBW (nm)                   2.0;;;
Beam Mode                         Double;;;
Signal-to-noise Mode              Off;;;
UV Source                         On;;;
Vis Source                        On;;;
Source Changeover (nm)            350.00;;;
Baseline Correction               On;;;
Baseline Type                     Baseline correction;;;
Baseline File Name;;;
Baseline Std Ref File Name;;;
Cycle Mode                        Off;;;
Comments;;;
Method Log     :;;;
Method Name    :;;;
Date/Time stamp: 19/07/2025 11:45:35;;;
Method Modifications:;;;
Auto Lamps Off Changed: 19/07/2025 12:00:26; Old:0; New:1;
Baseline Correction Changed: 19/07/2025 12:00:26; Old:0; New:1;
Y mode Changed: 19/07/2025 12:51:46; Old:Abs; New:%R;
End Method Modifications;;;
<SBW (nm)> ; 2.00;;
<Energy> ; 171.00;;
<Current Wavelength> ; 200.00;;
;;;
sample4;;;
sample4;;;
Collection Time: 19/07/2025 12:58:48;;;
Operator Name  :;;;
Scan Software Version: 4.20(470);;;
Parameter List :;;;
Instrument                        Cary 100;;;
Instrument Version                12.00;;;
Start (nm)                        800.00;;;
Stop (nm)                         200.00;;;
X Mode                            Nanometers;;;
Y Mode                            Abs;;;
UV-Vis Scan Rate (nm/min)         600.000;;;
UV-Vis Data Interval (nm)         1.000;;;
UV-Vis Ave. Time (sec)            0.100;;;
UV-Vis SBW (nm)                   2.0;;;
Beam Mode                         Double;;;
Signal-to-noise Mode              Off;;;
UV Source                         On;;;
Vis Source                        On;;;
Source Changeover (nm)            350.00;;;
Baseline Correction               On;;;
Baseline Type                     Baseline correction;;;
Baseline File Name;;;
Baseline Std Ref File Name;;;
Cycle Mode                        Off;;;
Comments;;;
Method Log     :;;;
Method Name    :;;;
Date/Time stamp: 19/07/2025 11:45:35;;;
Method Modifications:;;;
Auto Lamps Off Changed: 19/07/2025 12:00:26; Old:0; New:1;
Baseline Correction Changed: 19/07/2025 12:00:26; Old:0; New:1;
Y mode Changed: 19/07/2025 12:51:46; Old:Abs; New:%R;
Y mode Changed: 19/07/2025 12:58:28; Old:%R; New:Abs;
End Method Modifications;;;
<SBW (nm)> ; 2.00;;
<Energy> ; 172.00;;
<Current Wavelength> ; 200.00;;
