sample1;;sample2;
Wavelength (nm);Abs;Wavelength (nm);%R
420;0.6260787249;420;2.370.703.888
419;0.6251615882;419;2.371.562.386
418;0.6256665587;418;2.371.208.572
417;0.6256394982;417;2.374.126.816
416;0.6249774694;416;2.377.099.609
415;0.6253706813;415;2.374.219.322
414;0.6249502897;414;2.379.397.964
413;0.625700295;413;2.371.731.758
412;0.6257433891;412;2.370.611.954
411;0.6268715858;411;2.363.757.515
410;0.6270418167;410;2.363.945.198
409;0.6292091012;409;2.357.111.931
408;0.6308405399;408;2.349.054.527
407;0.6306952834;407;2.342.951.775
406;0.6328118443;406;2.331.221.008
405;0.6356312633;405;2.320.615.196
404;0.6371819377;404;2.308.878.899
403;0.6398799419;403;2.296.707.726
402;0.6428826451;402;2.284.690.475
401;0.6470233798;401;2.258.899.307
400;0.6522119045;400;2.228.045.845
399;0.6579786539;399;2.201.203.346
398;0.6643680334;398;216.608.448
397;0.6726052165;397;2.130.163.956
396;0.6802868843;396;2.094.426.918
395;0.688705802;395;2.047.973.442
394;0.6996688843;394;199.855.423
393;0.710816443;393;194.263.401
392;0.7241360545;392;1.891.233.063
391;0.7388469577;391;1.831.001.663
390;0.7539880872;390;1.759.310.532
389;0.7723684907;389;1.687.979.507
388;0.7904818654;388;1.614.551.735
387;0.8132939339;387;1.537.885.666
386;0.8364547491;386;1.456.411.934
385;0.8621538877;385;1.371.324.539
384;0.8887427449;384;129.149.828
383;0.9174848199;383;1.210.651.398
382;0.9456223249;382;1.132.112.312
381;0.9785383344;381;1.054.033.566
380;1.008.197.665;380;9.795.883.179
379;1.039.861.798;379;9.159.970.284
378;1.066.595.316;378;8.565.706.253
377;1.095.554.352;377;8.062.606.812
376;1.118.786.693;376;7.619.637.966
375;113.986.969;375;724.980.545
374;1.156.468.511;374;6.997.829.437
373;1.168.160.677;373;6.780.870.438
372;1.178.745.508;372;6.715.744.019
371;1.182.286.024;371;661.649.704
370;1.186.969.638;370;653.827.095
369;1.191.819.549;369;6.458.285.332
368;1.195.568.442;368;6.417.585.373
367;1.195.497.394;367;6.429.201.126
366;119.227.314;366;6.385.542.393
365;1.192.770.481;365;6.451.824.188
364;1.195.902.944;364;6.379.147.053
363;1.195.090.294;363;6.459.649.086
362;1.197.715.521;362;6.401.509.762
361;1.192.865.968;361;6.484.341.621
360;1.190.235.376;360;6.446.055.412
359;1.190.953.374;359;6.549.244.881
358;1.183.624.029;358;6.572.642.326
357;1.182.393.789;357;6.715.370.655
356;1.176.484.704;356;6.680.598.736
355;1.167.407.155;355;6.866.048.336
354;1.159.024.954;354;6.919.397.354
353;1.153.198.481;353;7.045.938.969
352;1.141.901.016;352;7.217.518.806
351;1.135.651.946;351;7.530.715.942
350;1.095.953.822;350;7.900.791.645
349;1.079.985.261;349;820.217.514
348;1.116.532.207;348;7.715.891.361
347;1.110.089.183;347;7.663.700.104
346;1.111.998.796;346;7.844.855.785
345;1.110.843.539;345;7.751.928.806
344;1.111.356.974;344;782.307.291
343;1.109.278.202;343;7.706.140.041
342;110.512.042;342;7.819.326.401
341;1.108.900.785;341;7.885.507.584
340;110.593.462;340;7.769.106.865
339;1.107.505.083;339;7.841.678.619
338;110.494.864;338;7.781.890.869
337;1.103.981.137;337;7.821.660.995
336;1.110.445.023;336;7.784.863.472
335;1.107.651.591;335;7.841.103.554
334;1.103.099.585;334;7.828.050.137
333;1.109.060.884;333;7.833.261.967
332;110.528.481;332;7.803.610.802
331;1.106.288.314;331;7.827.024.937
330;110.732.615;330;7.898.184.776
